Already have 7972 triples. Starting at idx 206211
Iteration: 208002, Elapsed Time: 1091.67 seconds, Entries: 8039
Iteration: 209002, Elapsed Time: 1636.11 seconds, Entries: 8073
Iteration: 210002, Elapsed Time: 2323.94 seconds, Entries: 8118
Iteration: 214002, Elapsed Time: 5216.92 seconds, Entries: 8264
Iteration: 219002, Elapsed Time: 7885.55 seconds, Entries: 8448
Iteration: 220002, Elapsed Time: 8411.80 seconds, Entries: 8489
Iteration: 221002, Elapsed Time: 9164.15 seconds, Entries: 8526
Iteration: 227002, Elapsed Time: 11348.93 seconds, Entries: 8772
Iteration: 228002, Elapsed Time: 11676.45 seconds, Entries: 8816
Iteration: 229002, Elapsed Time: 11918.56 seconds, Entries: 8858
Iteration: 230002, Elapsed Time: 12400.84 seconds, Entries: 8896
Iteration: 232002, Elapsed Time: 13198.49 seconds, Entries: 8973
Iteration: 234002, Elapsed Time: 13557.82 seconds, Entries: 9061
Iteration: 235002, Elapsed Time: 14053.98 seconds, Entries: 9099
Iteration: 236002, Elapsed Time: 14359.83 seconds, Entries: 9143
